date;valeur
10/06/2016;309.28
13/06/2016;309.02
14/06/2016;309.45
15/06/2016;311.98
16/06/2016;311.68
17/06/2016;309.82
20/06/2016;311.0
21/06/2016;308.85
22/06/2016;307.13
23/06/2016;306.0
24/06/2016;304.86
27/06/2016;305.6
28/06/2016;305.73
29/06/2016;306.34
30/06/2016;307.92
01/07/2016;304.68
04/07/2016;302.92
05/07/2016;302.05
06/07/2016;302.05
07/07/2016;300.97
08/07/2016;298.66
11/07/2016;294.94
12/07/2016;289.46
13/07/2016;289.35
14/07/2016;290.39
15/07/2016;290.29
18/07/2016;286.94
19/07/2016;290.56
20/07/2016;287.91
21/07/2016;288.19
22/07/2016;288.89
25/07/2016;287.53
26/07/2016;287.51
27/07/2016;287.36
28/07/2016;287.42
29/07/2016;289.36
01/08/2016;290.11
02/08/2016;289.1
03/08/2016;289.32
04/08/2016;287.73
05/08/2016;287.82
08/08/2016;287.82
09/08/2016;286.97
10/08/2016;287.05
11/08/2016;285.43
12/08/2016;285.79
15/08/2016;285.79
16/08/2016;285.16
17/08/2016;283.48
18/08/2016;281.09
19/08/2016;283.42
22/08/2016;284.03
23/08/2016;284.23
24/08/2016;285.97
25/08/2016;287.26
26/08/2016;287.79
29/08/2016;288.23
30/08/2016;287.69
31/08/2016;289.8
01/09/2016;290.76
02/09/2016;291.43
05/09/2016;290.78
06/09/2016;292.42
07/09/2016;297.73
08/09/2016;294.22
09/09/2016;293.83
12/09/2016;293.83
13/09/2016;291.78
14/09/2016;289.52
15/09/2016;293.54
16/09/2016;290.37
19/09/2016;287.55
20/09/2016;289.04
21/09/2016;286.69
22/09/2016;285.68
23/09/2016;285.39
26/09/2016;283.22
27/09/2016;284.83
28/09/2016;283.12
29/09/2016;283.73
30/09/2016;285.11
03/10/2016;280.95
04/10/2016;281.75
05/10/2016;281.2
06/10/2016;280.55
07/10/2016;279.99
10/10/2016;279.53
11/10/2016;276.84
12/10/2016;274.95
13/10/2016;273.21
14/10/2016;274.36
17/10/2016;271.61
18/10/2016;268.15
19/10/2016;268.4
20/10/2016;267.98
21/10/2016;270.84
24/10/2016;271.0
25/10/2016;271.24
26/10/2016;268.94
27/10/2016;270.33
28/10/2016;272.4
31/10/2016;272.78
01/11/2016;272.78
02/11/2016;274.45
03/11/2016;275.37
04/11/2016;275.41
07/11/2016;275.12
08/11/2016;282.11
09/11/2016;282.06
10/11/2016;280.39
11/11/2016;283.92
14/11/2016;280.16
15/11/2016;280.16
16/11/2016;281.64
17/11/2016;280.94
18/11/2016;279.22
21/11/2016;278.08
22/11/2016;278.05
23/11/2016;279.67
24/11/2016;277.17
25/11/2016;277.71
28/11/2016;277.44
29/11/2016;278.33
30/11/2016;280.05
01/12/2016;277.4
02/12/2016;280.75
05/12/2016;278.84
06/12/2016;279.07
07/12/2016;282.3
08/12/2016;276.21
09/12/2016;278.87
12/12/2016;278.87
13/12/2016;279.49
14/12/2016;283.28
15/12/2016;280.75
16/12/2016;278.6
19/12/2016;275.23
20/12/2016;274.85
21/12/2016;283.77
22/12/2016;277.44
23/12/2016;279.06
26/12/2016;279.06
27/12/2016;282.96
28/12/2016;285.67
29/12/2016;284.94
30/12/2016;292.17
02/01/2017;285.18
03/01/2017;283.45
04/01/2017;282.83
05/01/2017;282.54
06/01/2017;280.28
09/01/2017;280.93
10/01/2017;279.32
11/01/2017;281.38
12/01/2017;280.68
13/01/2017;278.05
16/01/2017;279.19
17/01/2017;279.81
18/01/2017;278.21
19/01/2017;280.21
20/01/2017;281.32
23/01/2017;278.96
24/01/2017;277.59
25/01/2017;277.3
26/01/2017;276.98
27/01/2017;277.11
30/01/2017;276.32
31/01/2017;277.66
01/02/2017;277.21
02/02/2017;278.36
03/02/2017;279.63
06/02/2017;279.4
07/02/2017;280.19
08/02/2017;279.47
09/02/2017;279.38
10/02/2017;282.16
13/02/2017;281.06
14/02/2017;281.3
15/02/2017;281.43
16/02/2017;281.84
17/02/2017;281.76
20/02/2017;282.57
21/02/2017;280.83
22/02/2017;283.86
23/02/2017;283.06
24/02/2017;287.13
27/02/2017;288.36
28/02/2017;288.54
01/03/2017;290.44
02/03/2017;286.08
03/03/2017;285.91
06/03/2017;284.56
07/03/2017;282.98
08/03/2017;282.15
09/03/2017;280.55
10/03/2017;281.85
13/03/2017;281.43
14/03/2017;282.17
15/03/2017;284.11
16/03/2017;284.63
17/03/2017;285.18
20/03/2017;282.81
21/03/2017;282.26
22/03/2017;283.47
23/03/2017;284.84
24/03/2017;283.58
27/03/2017;283.16
28/03/2017;279.32
29/03/2017;283.82
30/03/2017;283.35
31/03/2017;285.92
03/04/2017;284.82
04/04/2017;283.23
05/04/2017;282.77
06/04/2017;279.63
07/04/2017;281.29
10/04/2017;280.53
11/04/2017;278.28
12/04/2017;274.84
13/04/2017;274.88
14/04/2017;276.49
18/04/2017;275.57
19/04/2017;274.43
20/04/2017;273.11
21/04/2017;271.55
24/04/2017;271.22
25/04/2017;274.5
26/04/2017;275.48
27/04/2017;278.12
28/04/2017;274.01
01/05/2017;274.01
02/05/2017;273.67
03/05/2017;274.85
04/05/2017;273.08
05/05/2017;274.52
08/05/2017;271.95
09/05/2017;272.13
10/05/2017;271.52
11/05/2017;266.55
12/05/2017;270.95
15/05/2017;265.49
16/05/2017;267.33
17/05/2017;271.12
18/05/2017;266.31
19/05/2017;265.02
22/05/2017;262.73
23/05/2017;264.19
24/05/2017;273.4
25/05/2017;273.4
26/05/2017;264.82
29/05/2017;264.37
30/05/2017;262.46
31/05/2017;271.39
01/06/2017;266.38
02/06/2017;262.65
05/06/2017;262.65
06/06/2017;261.69
07/06/2017;268.97
08/06/2017;264.47
09/06/2017;259.54
12/06/2017;259.66
13/06/2017;262.1
14/06/2017;264.66
15/06/2017;262.27
16/06/2017;260.91
19/06/2017;258.51
20/06/2017;257.08
21/06/2017;256.99
22/06/2017;256.99
23/06/2017;258.11
27/06/2017;260.22
28/06/2017;264.79
29/06/2017;259.14
30/06/2017;262.39
03/07/2017;255.78
04/07/2017;255.85
05/07/2017;260.4
06/07/2017;255.55
07/07/2017;256.01
10/07/2017;252.28
11/07/2017;255.05
12/07/2017;255.07
13/07/2017;252.93
14/07/2017;252.9
17/07/2017;247.66
18/07/2017;248.97
19/07/2017;253.84
20/07/2017;253.3
21/07/2017;249.16
24/07/2017;248.59
25/07/2017;249.65
26/07/2017;250.65
27/07/2017;249.3
28/07/2017;250.23
31/07/2017;250.61
01/08/2017;251.93
02/08/2017;251.55
03/08/2017;250.19
04/08/2017;250.41
07/08/2017;250.41
08/08/2017;251.58
09/08/2017;253.04
10/08/2017;251.24
11/08/2017;251.2
14/08/2017;251.58
15/08/2017;251.58
16/08/2017;251.2
17/08/2017;246.69
18/08/2017;246.63
21/08/2017;245.22
22/08/2017;245.44
23/08/2017;245.65
24/08/2017;243.93
25/08/2017;243.46
28/08/2017;241.84
29/08/2017;241.6
30/08/2017;242.83
31/08/2017;239.98
01/09/2017;239.98
04/09/2017;240.68
05/09/2017;241.63
06/09/2017;240.92
07/09/2017;240.38
08/09/2017;239.35
11/09/2017;241.23
12/09/2017;239.8
13/09/2017;241.02
14/09/2017;240.2
15/09/2017;238.38
18/09/2017;237.42
19/09/2017;234.96
20/09/2017;234.74
21/09/2017;235.42
22/09/2017;234.84
25/09/2017;233.21
26/09/2017;232.48
27/09/2017;233.79
28/09/2017;234.43
29/09/2017;236.07
02/10/2017;234.77
03/10/2017;234.15
04/10/2017;235.77
05/10/2017;235.5
06/10/2017;236.9
09/10/2017;234.99
10/10/2017;236.34
11/10/2017;238.38
12/10/2017;236.9
13/10/2017;234.58
16/10/2017;231.68
17/10/2017;234.18
18/10/2017;233.42
19/10/2017;234.18
20/10/2017;232.46
23/10/2017;231.11
24/10/2017;232.09
25/10/2017;233.28
26/10/2017;232.26
27/10/2017;229.83
30/10/2017;230.16
31/10/2017;231.04
01/11/2017;231.04
02/11/2017;232.16
03/11/2017;229.42
06/11/2017;227.99
07/11/2017;227.88
08/11/2017;228.56
09/11/2017;226.99
10/11/2017;226.07
13/11/2017;226.57
14/11/2017;224.91
15/11/2017;224.91
16/11/2017;226.02
17/11/2017;224.46
20/11/2017;221.05
21/11/2017;220.49
22/11/2017;225.79
23/11/2017;222.49
24/11/2017;221.11
27/11/2017;219.66
28/11/2017;221.25
29/11/2017;222.41
30/11/2017;223.47
01/12/2017;223.47
04/12/2017;222.27
05/12/2017;222.1
06/12/2017;224.45
07/12/2017;224.38
08/12/2017;223.62
11/12/2017;223.21
12/12/2017;224.03
13/12/2017;224.14
14/12/2017;219.65
15/12/2017;224.0
18/12/2017;225.42
19/12/2017;228.1
20/12/2017;228.46
21/12/2017;229.89
22/12/2017;232.85
25/12/2017;232.85
26/12/2017;232.2
27/12/2017;233.4
28/12/2017;237.12
29/12/2017;243.06
02/01/2018;238.19
03/01/2018;236.54
04/01/2018;234.57
05/01/2018;233.77
08/01/2018;231.11
09/01/2018;230.2
10/01/2018;231.79
11/01/2018;231.25
12/01/2018;231.58
15/01/2018;231.1
16/01/2018;230.7
17/01/2018;233.09
18/01/2018;231.25
19/01/2018;231.5
22/01/2018;230.45
23/01/2018;229.61
24/01/2018;229.74
25/01/2018;229.41
26/01/2018;229.27
29/01/2018;228.18
30/01/2018;227.49
31/01/2018;227.21
01/02/2018;229.36
02/02/2018;228.84
05/02/2018;228.46
06/02/2018;229.54
07/02/2018;230.69
08/02/2018;231.2
09/02/2018;230.69
12/02/2018;230.19
13/02/2018;229.2
14/02/2018;231.61
15/02/2018;231.01
16/02/2018;231.82
19/02/2018;231.4
20/02/2018;232.43
21/02/2018;233.14
22/02/2018;232.2
23/02/2018;232.45
26/02/2018;232.26
27/02/2018;232.7
28/02/2018;234.17
01/03/2018;233.84
02/03/2018;234.75
05/03/2018;235.56
06/03/2018;235.85
07/03/2018;236.36
08/03/2018;234.0
09/03/2018;237.48
12/03/2018;237.52
13/03/2018;237.59
14/03/2018;242.02
15/03/2018;242.03
16/03/2018;240.95
19/03/2018;240.03
20/03/2018;240.25
21/03/2018;241.53
22/03/2018;240.91
23/03/2018;241.3
26/03/2018;243.37
27/03/2018;244.77
28/03/2018;243.98
29/03/2018;241.57
30/03/2018;242.54
02/04/2018;242.54
03/04/2018;241.24
04/04/2018;242.79
05/04/2018;240.2
06/04/2018;238.91
09/04/2018;239.4
10/04/2018;238.82
11/04/2018;240.75
12/04/2018;239.1
13/04/2018;237.44
16/04/2018;235.99
17/04/2018;235.8
18/04/2018;235.16
19/04/2018;233.59
20/04/2018;234.91
23/04/2018;235.79
24/04/2018;235.69
25/04/2018;237.54
26/04/2018;236.51
27/04/2018;235.83
30/04/2018;238.86
02/05/2018;236.57
03/05/2018;235.85
04/05/2018;234.49
07/05/2018;233.6
08/05/2018;232.15
09/05/2018;230.62
10/05/2018;230.62
11/05/2018;228.7
14/05/2018;228.78
15/05/2018;228.42
16/05/2018;227.02
17/05/2018;222.95
18/05/2018;221.69
21/05/2018;221.69
22/05/2018;220.44
23/05/2018;219.05
24/05/2018;218.27
25/05/2018;219.58
28/05/2018;217.93
29/05/2018;217.73
30/05/2018;216.94
31/05/2018;218.39
01/06/2018;217.72
04/06/2018;216.91
05/06/2018;217.9
06/06/2018;216.98
07/06/2018;216.95
08/06/2018;216.86
11/06/2018;216.86
12/06/2018;218.41
13/06/2018;219.04
14/06/2018;219.04
15/06/2018;219.24
18/06/2018;218.73
19/06/2018;220.03
20/06/2018;220.16
21/06/2018;218.36
22/06/2018;218.79
25/06/2018;217.56
26/06/2018;218.47
27/06/2018;218.93
28/06/2018;220.06
29/06/2018;221.35
02/07/2018;219.51
03/07/2018;221.09
04/07/2018;220.46
05/07/2018;219.47
06/07/2018;218.8
09/07/2018;217.8
10/07/2018;217.79
11/07/2018;217.08
12/07/2018;215.98
13/07/2018;216.02
16/07/2018;216.51
17/07/2018;216.26
18/07/2018;216.69
19/07/2018;215.41
20/07/2018;214.0
23/07/2018;212.47
24/07/2018;212.83
25/07/2018;212.5
26/07/2018;212.71
27/07/2018;213.39
30/07/2018;211.73
31/07/2018;212.51
01/08/2018;212.03
02/08/2018;211.21
03/08/2018;210.24
06/08/2018;210.24
07/08/2018;210.24
08/08/2018;210.32
09/08/2018;208.62
10/08/2018;208.45
13/08/2018;208.5
14/08/2018;209.0
16/08/2018;206.49
17/08/2018;206.45
20/08/2018;205.29
21/08/2018;205.29
22/08/2018;205.71
23/08/2018;205.79
24/08/2018;205.56
27/08/2018;205.98
28/08/2018;206.74
29/08/2018;207.14
30/08/2018;206.81
31/08/2018;206.68
03/09/2018;204.52
04/09/2018;205.12
05/09/2018;203.58
06/09/2018;202.81
07/09/2018;201.56
10/09/2018;200.61
11/09/2018;199.24
12/09/2018;198.72
13/09/2018;196.8
14/09/2018;196.8
17/09/2018;194.05
18/09/2018;193.62
19/09/2018;194.31
20/09/2018;193.81
21/09/2018;193.59
